date,first_name,last_name,email,category,price,product_name,creditcard_num,creditcard_type,currency,address,address_line_2,postcode
2025-01-01,Owen,Walker,owen_walker163@gmail.com,Accessories,22.52,Beanie,2711-0848-6493-5005,American Express,AUD,"220 Hunter Road, Mordialloc VIC 3195",,3195
2025-01-01,Sophie,Robinson,sophie_robinson357@bigpond.com,Jackets & Coats,445.74,Trench Coat,9085-2627-1128-8702,Maestro,AUD,"231 Garden Parade, Fitzroy VIC 3065",Suite 30,3065
2025-01-01,Charlotte,Thompson,charlotte_thompson624@yahoo.com.au,Skirts,168.88,Mini Skirt,9218-8132-8514-8154,Maestro,AUD,"414 Ann Terrace, Wayville SA 5034",Suite 13,5034
2025-01-01,Noah,Rodriguez,noah_rodriguez417@gmail.com,Accessories,38.35,Sunglasses,6116-8854-2755-4016,Mastercard,AUD,"488 Central Boulevard, West Hobart TAS 7000",,7000
2025-01-01,Caleb,Adams,caleb_adams894@icloud.com,Activewear,53.05,Gym Tank Top,0440-3632-9970-2918,Maestro,AUD,"189 North Court, Mentone VIC 3194",,3194
2025-01-01,Noah,Lee,noah.lee998@icloud.com,Shirts,135.64,Linen Shirt,9388-4115-0308-5517,Mastercard,AUD,"24 Edward Grove, Huonville TAS 7109",,7109
2025-01-01,Amelia,Phillips,amelia_phillips327@icloud.com,Shirts,194.91,Oxford Shirt,9705-9374-5014-0341,American Express,AUD,"389 Forest Avenue, Moonah TAS 7009",,7009
2025-01-01,Riley,Cook,riley.cook320@yahoo.com.au,Pants,60.83,Straight Jeans,7289-9621-0036-5074,Visa,AUD,"231 King Boulevard, Bulimba QLD 4171",,4171
2025-01-01,Cameron,Robinson,cameron_robinson441@bigpond.com,Dresses,239.8,Floral Midi Dress,7526-1035-6715-5037,American Express,AUD,"389 Macquarie Boulevard, Inglewood WA 6052",Unit 50,6052
2025-01-01,Zoey,Allen,zoeyallen840@outlook.com,Dresses,213.13,Floral Midi Dress,3538-9960-6852-9477,Maestro,AUD,"41 Main Road, Essendon VIC 3040",Apt 25,3040
2025-01-01,Scarlett,Rodriguez,scarlettrodriguez358@gmail.com,Shirts,50.55,Casual Slim Shirt,2975-5577-6362-6236,American Express,AUD,"4 Kent Boulevard, Leichhardt NSW 2040",,2040
2025-01-01,Benjamin,Cox,benjamin_cox359@optusnet.com.au,Hoodies & Sweatshirts,81.09,Oversized Hoodie,1631-6701-6501-8097,Mastercard,AUD,"181 Henry Crescent, Unley SA 5061",,5061
2025-01-01,Chloe,Thompson,chloe.thompson975@icloud.com,Activewear,84.86,Running Shorts,0156-1511-5454-0894,eftpos,AUD,"121 Forest Street, Carrum Downs VIC 3201",,3201
2025-01-01,Thomas,Nelson,thomas.nelson352@bigpond.com,Activewear,31.0,Gym Tank Top,6765-9233-4891-8458,eftpos,AUD,"470 Boundary Parade, Tempe NSW 2044",,2044
2025-01-01,Elijah,Brown,elijahbrown267@hotmail.com,Underwear & Socks,22.58,Sports Underwear,2170-7230-1998-5931,eftpos,AUD,"428 Henry Avenue, Ballarat VIC 3350",Apt 21,3350
2025-01-01,Amelia,Turner,amelia_turner730@icloud.com,Activewear,156.43,Compression Tights,5165-9007-3930-3624,eftpos,AUD,"91 Charles Grove, Noosa Heads QLD 4567",,4567
2025-01-01,Matthew,Young,matthewyoung224@gmail.com,Swimwear,77.92,Board Shorts,1903-1236-7176-9681,Maestro,AUD,"128 Church Street, Wanneroo WA 6065",,6065
2025-01-01,Emma,Martinez,emma_martinez451@optusnet.com.au,Hoodies & Sweatshirts,106.2,Zip-Up Hoodie,3295-8414-5278-6379,Visa,AUD,"24 Edward Boulevard, Whyalla Norrie SA 5608",,5608
2025-01-01,Isabella,Adams,isabellaadams696@outlook.com,Accessories,31.61,Cap,4864-4458-2220-0920,Visa,AUD,"260 Macquarie Street, Alexandria NSW 2015",Suite 10,2015
2025-01-01,Amelia,Ramirez,amelia_ramirez178@gmail.com,Underwear & Socks,7.11,No-Show Socks,5538-5286-3550-6210,eftpos,AUD,"61 Pitt Road, Bankstown NSW 2200",Level 50,2200
2025-01-01,Aaron,Green,aarongreen393@hotmail.com,Activewear,106.41,Running Shorts,3791-9559-1097-8965,eftpos,AUD,"22 Kent Road, Strathfield NSW 2135",,2135
2025-01-01,Ethan,Hernandez,ethanhernandez534@gmail.com,Activewear,151.1,Compression Tights,5742-2187-7343-0529,Visa,AUD,"336 Henry Way, Enmore NSW 2042",,2042
2025-01-01,Sophie,Turner,sophie_turner98@hotmail.com,Pants,258.88,Skinny Jeans,5414-3960-4433-0169,Mastercard,AUD,"452 Lake Close, Newstead QLD 4006",,4006
2025-01-01,Liam,Carter,liam_carter430@gmail.com,Jackets & Coats,318.69,Puffer Jacket,4775-2919-3040-1207,eftpos,AUD,"148 Church Road, Maroubra NSW 2035",,2035
2025-01-01,Scarlett,Nelson,scarlett.nelson649@yahoo.com.au,Shirts,106.53,Casual Slim Shirt,6100-8624-3543-9310,Maestro,AUD,"342 Elizabeth Drive, Geelong VIC 3220",,3220
2025-01-01,Logan,Adams,logan.adams865@hotmail.com,Accessories,87.05,Sunglasses,7453-3595-9723-7568,eftpos,AUD,"14 William Boulevard, Cottesloe WA 6011",,6011
2025-01-01,Riley,Williams,rileywilliams502@gmail.com,Dresses,217.22,Mini Sundress,0311-6896-1740-0110,Mastercard,AUD,"259 Lower Drive, Northcote VIC 3070",Level 41,3070
2025-01-01,Ella,Hill,ella_hill153@bigpond.com,Shorts,66.15,Swim Shorts,3589-2047-5211-5440,Visa,AUD,"428 Boundary Terrace, Cremorne NSW 2090",Apt 49,2090
2025-01-01,Matthew,Allen,matthewallen755@icloud.com,Accessories,30.35,Sunglasses,5193-6268-2821-3168,eftpos,AUD,"299 Church Terrace, Chipping Norton NSW 2170",,2170
2025-01-01,Aurora,Robinson,aurora.robinson408@icloud.com,Shorts,104.46,Denim Shorts,9389-6521-7436-2896,American Express,AUD,"42 Albert Drive, Tempe NSW 2044",,2044
2025-01-01,Lucas,Wilson,lucas.wilson912@yahoo.com.au,Shirts,150.16,Casual Slim Shirt,3696-7163-8646-6170,Mastercard,AUD,"81 King Way, Strathfield NSW 2135",,2135
2025-01-01,Oliver,Murphy,olivermurphy519@hotmail.com,Shirts,142.68,Chambray Shirt,2145-3052-6504-9103,Mastercard,AUD,"14 Swanston Close, Woden ACT 2606",,2606
2025-01-01,Ava,King,avaking204@outlook.com,Skirts,66.64,Maxi Skirt,9429-6820-3529-5695,American Express,AUD,"234 Great Drive, Woden ACT 2606",Unit 25,2606
2025-01-01,Hannah,Lee,hannahlee117@gmail.com,Hoodies & Sweatshirts,96.27,Zip-Up Hoodie,2579-5043-4353-2906,Maestro,AUD,"405 River Way, Morley WA 6062",,6062
2025-01-01,Aaron,Taylor,aarontaylor591@bigpond.com,Jackets & Coats,340.58,Fleece Jacket,5849-0342-4179-7116,American Express,AUD,"87 Park Road, Granville NSW 2142",Unit 37,2142
2025-01-01,Nathan,Young,nathan_young312@outlook.com,Hoodies & Sweatshirts,79.08,Graphic Hoodie,2753-3336-6198-7271,Mastercard,AUD,"289 George Road, Morphett Vale SA 5162",,5162
2025-01-01,Amelia,Lewis,amelialewis722@hotmail.com,Hoodies & Sweatshirts,138.17,Graphic Hoodie,3479-1243-1226-3026,American Express,AUD,"233 Bridge Close, Kangaroo Point QLD 4169",Apt 58,4169
2025-01-02,Jack,Walker,jack_walker384@yahoo.com.au,Jackets & Coats,329.01,Fleece Jacket,9660-6910-0797-4999,Mastercard,AUD,"111 Ann Parade, South Brisbane QLD 4101",,4101
2025-01-02,Caleb,Brown,caleb_brown651@optusnet.com.au,Jackets & Coats,190.83,Trench Coat,5597-3450-7533-9822,American Express,AUD,"9 Boundary Avenue, Burleigh Heads QLD 4220",,4220
2025-01-02,Sebastian,Green,sebastian_green734@outlook.com,Activewear,40.04,Gym Tank Top,8112-3370-2802-3335,American Express,AUD,"327 Garden Way, Noosa Heads QLD 4567",,4567
